id_da rua,Id_ponto,metragem,logradouro,numero,numero original,Data inicial,Data_final,fonte,autor_da_alimentação,Data
78,78-42,41,rua araujo,42,42,15/05/1936,,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018
78,78-42,41,rua araujo,55,55,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-42,41,rua araujo,61,61,18/09/1908,18/09/1908,"Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-276,276.4,rua araujo,276,276,15/05/1936,,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018
78,78-276,276.4,rua araujo,21,21,08/08/1930,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-276,276.4,rua araujo,19,19,19/09/1908,07/08/1930,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-392,391.5,rua araujo,392,392,15/05/1936,,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018
78,78-392,391.5,rua araujo,1,1,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-73,74.1,rua araujo,73,73,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-73,74.1,rua araujo,42,42,08/08/1930,14/05/1936,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-73,74.1,rua araujo,44,44,19/09/1908,08/08/1930,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-73,74.1,rua araujo,60,60,18/09/1908,18/09/1908,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-281,281.8,rua araujo,281,281,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-281,281.8,rua araujo,10,10,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-399,399.6,rua araujo,399,399,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-399,399.6,rua araujo,2,2,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
11,11-18,18,rua senador feijó,18,18,05/11/1936,,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018
11,11-18,18,rua senador feijó,2,2,04/11/1936,04/11/1936,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018
11,11-82,82,rua senador feijó,82,82,05/11/1936,,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018
11,11-82,82,rua senador feijó,16,16,04/11/1936,04/11/1936,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018
11,11-158,158,rua senador feijó,158,158,05/11/1936,,"Livro de Emplacamento, n.21, p.342",Cintia,8/10/2018
11,11-158,158,rua senador feijó,26,26,04/11/1936,04/11/1936,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018
11,11-29,29,rua senador feijó,29,29,05/11/1936,,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018
11,11-29,29,rua senador feijó,1,1,04/11/1936,04/11/1936,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018
11,11-109,109,rua senador feijó,109,109,05/11/1936,,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018
11,11-109,109,rua senador feijó,3,3,04/11/1936,04/11/1936,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018
11,11-205,205,rua senador feijó,205,205,05/11/1936,,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018
11,11-205,205,rua senador feijó,27,27,04/11/1936,04/11/1936,"Livro de Emplacamento, n.21, p.341",Cintia,8/10/2018
12,12-37,37,rua santa theresa,37,37,12/09/1940,,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-37,37,rua santa theresa,17,17,11/09/1940,11/09/1940,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-61,61,rua santa theresa,61,61,12/09/1940,,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-61,61,rua santa theresa,25,25,11/09/1940,11/09/1940,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-93,93,rua santa theresa,93,93,12/09/1940,,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-93,93,rua santa theresa,31,31,11/09/1940,11/09/1940,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-70,70,rua santa theresa,70,70,12/09/1940,,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-70,70,rua santa theresa,28,28,11/09/1940,11/09/1940,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-76,76,rua santa theresa,76,76,12/09/1940,,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-76,76,rua santa theresa,28.1,28A,11/09/1940,11/09/1940,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-86,86,rua santa theresa,86,86,12/09/1940,,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
12,12-86,86,rua santa theresa,32,32,11/09/1940,11/09/1940,"Livro de Emplacamento, n.27, p.269",Cintia,8/10/2018
13,13-8,8,rua wenceslau braz,8,8,06/05/1940,,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-8,8,rua wenceslau braz,4,4,05/09/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-8,8,rua wenceslau braz,2.1,2 tinta,04/09/1908,04/09/1908,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-104,104,rua wenceslau braz,104,104,06/05/1940,,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-104,104,rua wenceslau braz,32,32,05/09/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-104,104,rua wenceslau braz,18,18,04/09/1908,04/09/1908,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-200,200,rua wenceslau braz,200,200,06/05/1940,,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-200,200,rua wenceslau braz,210,210,05/05/1940,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-47,47,rua wenceslau braz,47,47,06/05/1940,,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-47,47,rua wenceslau braz,7,7,05/09/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-47,47,rua wenceslau braz,5,5 tinta,04/09/1908,04/09/1908,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-67,67,rua wenceslau braz,67,67,06/05/1940,,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-67,67,rua wenceslau braz,11,11,05/09/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-93,93,rua wenceslau braz,93,93,06/05/1940,,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
13,13-93,93,rua wenceslau braz,19,19,05/09/1908,05/05/1940,"Livro de Emplacamento, n.27, p.123; n.8, p.118",Cintia,8/10/2018
14,14-21,21,rua onze de agosto,21,21,07/12/1939,,"Livro de Emplacamento, n.26, p.356",Cintia,8/10/2018
14,14-21,21,rua onze de agosto,3,3,08/02/1909,06/12/1939,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018
14,14-21,21,rua onze de agosto,1.1,1B Tinta,07/02/1909,07/02/1909,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018
14,14-109,109,rua onze de agosto,109,109,07/12/1939,,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018
14,14-109,109,rua onze de agosto,23,23,08/02/1909,06/12/1939,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018
14,14-109,109,rua onze de agosto,7,7,07/02/1909,07/02/1909,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018
14,14-357,357,rua onze de agosto,357,357,07/12/1939,,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018
14,14-357,357,rua onze de agosto,55,55,08/02/1909,06/12/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-357,357,rua onze de agosto,35,35,07/02/1909,07/02/1909,"Livro de Emplacamento, n.21, p.356; n.7, p.51",Cintia,8/10/2018
14,14-98,98,rua onze de agosto,98,98,07/12/1939,,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-98,98,rua onze de agosto,16,16,08/02/1909,06/12/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-98,98,rua onze de agosto,8,8,07/02/1909,07/02/1909,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-224,224,rua onze de agosto,224,224,07/12/1939,,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-224,224,rua onze de agosto,50,50,08/02/1909,06/12/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-224,224,rua onze de agosto,40,40,07/02/1909,07/02/1909,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-360,360,rua onze de agosto,360,360,07/12/1939,,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-360,360,rua onze de agosto,84,84,06/12/1939,06/12/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-348,348,rua onze de agosto,348,348,7/12/1939,,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
14,14-348,348,rua onze de agosto,80,80,08/02/1909,6/12/1939,"Livro de Emplacamento, n.21, p.357; n.7, p.51",Cintia,8/10/2018
16,16-41,41,rua alvares penteado,41,41,13/09/1939,,"Livro de Emplacamento, n.26, p.199",Cintia,8/10/2018
16,16-41,41,rua alvares penteado,5,5,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31",Cintia,8/10/2018
16,16-41,41,rua alvares penteado,7,7,21/06/1912,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-121,121,rua alvares penteado,121,121,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-121,121,rua alvares penteado,17,17,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-121,121,rua alvares penteado,19,19,15/07/1928,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-221,221,rua alvares penteado,221,221,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-221,221,rua alvares penteado,31.1,31A,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-221,221,rua alvares penteado,43,43 E/T,21/06/1912,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-18,18,rua alvares penteado,18,18,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-18,18,rua alvares penteado,2.4,2B,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-18,18,rua alvares penteado,8.1,8A E/T,15/07/1928,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-112,112,rua alvares penteado,112,112,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-112,112,rua alvares penteado,12,12,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-112,112,rua alvares penteado,24,24,21/06/1912,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-218,218,rua alvares penteado,218,218,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-218,218,rua alvares penteado,26,26 sob,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-218,218,rua alvares penteado,44,44 E/S,15/07/1928,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
17,17-19,19,rua do comercio,19,19,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-19,19,rua do comercio,1,1,16/06/1928,05/11/1936,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-19,19,rua do comercio,1,1 E/T Tinta,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-39,39,rua do comercio,39,39,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-39,39,rua do comercio,3,3 sob,16/06/1928,05/11/1936,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-39,39,rua do comercio,9,9 E/S,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-14,14,rua do comercio,14,14,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-14,14,rua do comercio,2,2,16/06/1928,05/11/1936,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-14,14,rua do comercio,2,2 E/T,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-58,58,rua do comercio,58,58,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-58,58,rua do comercio,6,6,16/06/1928,05/11/1936,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-58,58,rua do comercio,10,10 E/T,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
19,19-63,63,rua da quitanda,63,63,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-63,63,rua da quitanda,1,1,22/06/1928,01/01/1935,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-63,63,rua da quitanda,1,1 E/T,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-113,113,rua da quitanda,113,113,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-113,113,rua da quitanda,13,13 s°,22/06/1928,01/01/1935,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-113,113,rua da quitanda,13,13 E/S,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-161,161,rua da quitanda,161,161,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-161,161,rua da quitanda,23,23,22/06/1928,01/01/1935,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-161,161,rua da quitanda,23,23 tinta,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-18,18,rua da quitanda,18,18,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-18,18,rua da quitanda,2,2 s°,22/06/1928,01/01/1935,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-18,18,rua da quitanda,2,2 E/S,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-114,114,rua da quitanda,114,114,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-114,114,rua da quitanda,12,12,22/06/1928,01/01/1935,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-114,114,rua da quitanda,10,10 E/T,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-162,162,rua da quitanda,162,162,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-162,162,rua da quitanda,20,20 sob,22/06/1928,01/01/1935,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-162,162,rua da quitanda,18,18 E/S,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
20,20-11,11,rua direita,11,11,05/02/1938,,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-11,11,rua direita,1,1,01/03/1928,04/02/1938,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-141,141,rua direita,141,141,05/02/1938,,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-141,141,rua direita,15,15,13/03/1928,04/02/1938,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-141,141,rua direita,27,27 E/T,12/03/1928,12/03/1928,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-271,271,rua direita,271,271,05/02/1938,,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-271,271,rua direita,39.3,39C,13/03/1928,04/02/1938,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-271,271,rua direita,51,51,12/03/1928,12/03/1928,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-22,22,rua direita,22,22,05/02/1938,,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-22,22,rua direita,2,2,13/03/1928,04/02/1938,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-22,22,rua direita,2,2 E/T,12/03/1928,12/03/1928,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-120,120,rua direita,120,120,05/02/1938,,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-120,120,rua direita,10,10,13/03/1928,04/02/1938,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-120,120,rua direita,10.1,10A,12/03/1928,12/03/1928,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-246,246,rua direita,246,246,05/02/1938,,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-246,246,rua direita,28.1,28 sob,13/03/1928,04/02/1938,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
20,20-246,246,rua direita,28,28 E/S,12/03/1928,12/03/1928,"Livro de Emplacamento, n.24, p.205; n.13, p.112",Cintia,8/10/2018
51,51-366,366,rua formosa,366,366,06/10/1936,,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-366,366,rua formosa,11,11,05/10/1936,05/10/1936,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-410,410,rua formosa,410,410,06/10/1936,,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-410,410,rua formosa,1,1,23/02/1909,05/10/1936,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-19,19,rua formosa,19,19,06/10/1936,,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-19,19,rua formosa,72,72,23/02/1909,05/10/1936,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-19,19,rua formosa,82.3,82C,22/02/1909,22/02/1909,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-197,197,rua formosa,197,197,06/10/1936,,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-197,197,rua formosa,26,26,23/02/1909,05/10/1936,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-197,197,rua formosa,44,44 tinta,22/02/1909,22/02/1909,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-449,449,rua formosa,449,449,06/10/1936,,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
51,51-449,449,rua formosa,4,4,23/02/1909,05/10/1936,"Livro de Emplacamento, n.21,p.307; n.4, p.39",Cintia,8/10/2018
54,54-15,15,rua vinte e quatro de maio,15,15,06/11/1935,,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-15,15,rua vinte e quatro de maio,1,1,20/02/1909,05/11/1935,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-113,113,rua vinte e quatro de maio,113,113,06/11/1935,,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-113,113,rua vinte e quatro de maio,27,27,20/02/1909,05/11/1935,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-281,281,rua vinte e quatro de maio,281,281,06/11/1935,,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-281,281,rua vinte e quatro de maio,69,69,05/11/1935,05/11/1935,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-32,32,rua vinte e quatro de maio,32,32,06/11/1935,,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-32,32,rua vinte e quatro de maio,4,4,20/02/1909,05/11/1935,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-196,196,rua vinte e quatro de maio,196,196,06/11/1935,,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-196,196,rua vinte e quatro de maio,42,42,20/02/1909,05/11/1935,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-196,196,rua vinte e quatro de maio,44,44,19/02/1909,19/02/1909,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-262,262,rua vinte e quatro de maio,262,262,06/11/1935,,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
54,54-262,262,rua vinte e quatro de maio,50.2,50 sob,20/02/1909,05/11/1935,"Livro de Emplacamento n.20, p.154; n.9, p.199",Cintia,8/10/2018
55,55-11,11,rua são francisco,11,11,21/09/1938,,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-11,11,rua são francisco,3,3,19/03/1909,20/09/1938,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-49,49,rua são francisco,49,49,21/09/1938,,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-49,49,rua são francisco,11.3,11B,20/09/1938,20/09/1938,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-115,115,rua são francisco,115,115,21/09/1938,,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-115,115,rua são francisco,27,27,19/03/1909,20/09/1938,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-52,52,rua são francisco,52,52,21/09/1938,,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-52,52,rua são francisco,20,20,19/03/1909,20/09/1938,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-92,92,rua são francisco,92,92,21/09/1938,,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-92,92,rua são francisco,24,24,20/09/1938,20/09/1938,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-118,118,rua são francisco,118,118,21/09/1938,,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
55,55-118,118,rua são francisco,32,32,20/09/1938,20/09/1938,"Livro de Emplacamento n.25, p.120; n.8, p.128",Cintia,8/10/2018
56,56-7,7,rua senador paulo egydio,7,7,22/08/1934,,"Livro de Emplacamento, n.19, p.171",Cintia,09/10/2018
56,56-61,61,rua senador paulo egydio,61,61,22/08/1934,,"Livro de Emplacamento, n.19, p.171",Cintia,09/10/2018
56,56-18,18,rua senador paulo egydio,18,18,22/08/1934,,"Livro de Emplacamento, n.19, p.171",Cintia,09/10/2018
56,56-18,18,rua senador paulo egydio,2,2,21/08/1934,21/08/1934,"Livro de Emplacamento, n.19, p.171",Cintia,09/10/2018
56,56-44,44,rua senador paulo egydio,44,44,22/08/1934,,"Livro de Emplacamento, n.19, p.171",Cintia,09/10/2018
56,56-44,44,rua senador paulo egydio,10,10,21/08/1934,21/08/1934,"Livro de Emplacamento, n.19, p.171",Cintia,09/10/2018
59,59-33,33,rua cristavão colombo,33,33,14/03/1941,,"Livro de Emplacamento, n.28, p.127",Cintia,09/10/2018
59,59-51,51,rua cristavão colombo,51,51,14/03/1941,,"Livro de Emplacamento, n.28, p.127",Cintia,09/10/2018
59,59-51,51,rua cristavão colombo,1,1,13/03/1941,13/03/1941,"Livro de Emplacamento, n.28, p.127",Cintia,09/10/2018
59,59-63,63,rua cristavão colombo,63,63,14/03/1941,,"Livro de Emplacamento, n.28, p.127",Cintia,09/10/2018
59,59-63,63,rua cristavão colombo,3,3s°,13/03/1941,13/03/1941,"Livro de Emplacamento, n.28, p.127",Cintia,09/10/2018
65,65-48,48,rua alvaro de carvalho,48,48,07/08/1940,,"Livro de Emplacamento n.27, p.182; n.13, p.33; n.1, p.43; n.1, p.11",Cintia,09/10/2018
65,65-48,48,rua alvaro de carvalho,2,2,12/07/1928,06/08/1940,"Livro de Emplacamento n.27, p.182; n.13, p.33; n.1, p.43; n.1, p.11",Cintia,09/10/2018
